"Survey.ResponseID","Q.demos.age","Q.demos.hispanic","Q.demos.race","Q.demos.education","Q.demos.income","Q.demos.gender","Q.sexual.orientation","Q.demos.state","Q.amazon.use.howmany","Q.amazon.use.hh.size","Q.amazon.use.hh.size.num","Q.amazon.use.how.oft","Q.substance.use.cigarettes","Q.substance.use.marijuana","Q.substance.use.alcohol","Q.personal.diabetes","Q.personal.wheelchair","Q.life.changes","Q.sell.YOUR.data","Q.sell.consumer.data","Q.small.biz.use","Q.census.use","Q.research.society","test"
"R_3EF584Zf9pAwkir","25 - 34 years","No","Black or African American","Bachelor's degree","Less than $25,000","Male","heterosexual (straight)","Texas","1 (just me!)","3",3,"5 - 10 times per month","No","No","No","No","No","","Yes","No","No","No","No",FALSE
"R_3siDFskpnvXwLuH","35 - 44 years","No","White or Caucasian","Bachelor's degree","$50,000 - $74,999","Female","heterosexual (straight)","Oklahoma","1 (just me!)","1 (just me!)",1,"Less than 5 times per month","No","No","No","No","No","Moved place of residence","No","No","No","No","No",FALSE
"R_8IbYFRjJvCXVtHX","18 - 24 years","No","White or Caucasian","Bachelor's degree","$100,000 - $149,999","Female","heterosexual (straight)","Pennsylvania","4+","4+",4,"Less than 5 times per month","No","Yes","Yes","No","No","Moved place of residence","No","No","I don't know","No","Yes",FALSE
"R_3papb8tA6MhY9Ga",NA,NA,NA,NA,NA,"Female",NA,"Pennsylvania",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"R_1hEjpnZ3LX7e07K","25 - 34 years","No","White or Caucasian","Bachelor's degree","$50,000 - $74,999","Female","heterosexual (straight)","New Hampshire","4+","1 (just me!)",1,"Less than 5 times per month","No","No","No","No","No","Moved place of residence","Yes if I get part of the profit","Yes if consumers get part of the profit","Yes","I don't know","Yes",FALSE
"R_24f9hBh5NSWGX7k","45 - 54 years","No","White or Caucasian","Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS, etc)","Prefer not to say","Female","heterosexual (straight)","Kentucky","2","2",2,"Less than 5 times per month","No","No","No","No","No","","No","No","No","No","Yes",FALSE
"R_2PdHkMSzW7totCp",NA,NA,NA,NA,NA,"Male",NA,"Texas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"R_1ot2z2xc5wpqufx","25 - 34 years","No","White or Caucasian","Bachelor's degree","$25,000 - $49,999","Female","heterosexual (straight)","Louisiana","1 (just me!)","2",2,"Less than 5 times per month","No","Prefer not to say","Yes","No","No","Moved place of residence","No","Yes if consumers get part of the profit","No","No","No",FALSE
"R_2pS6trX78UqetHg","18 - 24 years","Yes","White or Caucasian","Bachelor's degree","$25,000 - $49,999","Female","prefer not to say","Texas","1 (just me!)","4+",4,"Less than 5 times per month","No","No","Yes","Yes","No","","No","No","I don't know","No","I don't know",FALSE
"R_PzynrAQBzRiPa93","35 - 44 years","No","White or Caucasian","Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS, etc)","$100,000 - $149,999","Male","heterosexual (straight)","Texas","1 (just me!)","4+",4,"Less than 5 times per month","No","No","Yes","No","No","Moved place of residence","Yes if I get part of the profit","Yes if consumers get part of the profit","I don't know","Yes","Yes",FALSE
"R_1g0gCzG1DmCEKob",NA,NA,NA,NA,NA,"Female",NA,"Pennsylvania",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"R_279w6VtL6RMPoAy",NA,NA,NA,NA,NA,"Female",NA,"Delaware",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"R_2us4qPSxiD4clPq","35 - 44 years","No","White or Caucasian","High school diploma or GED","$75,000 - $99,999","Male","heterosexual (straight)","Montana","1 (just me!)","2",2,"5 - 10 times per month","No","No","Yes","No","No","","Yes if I get part of the profit","Yes if consumers get part of the profit","Yes","Yes","Yes",FALSE
"R_3pg3JqNkeNbi2fG","25 - 34 years","No","White or Caucasian,Asian","High school diploma or GED","Less than $25,000","Male","heterosexual (straight)","Washington","1 (just me!)","3",3,"More than 10 times per month","No","No","Yes","No","No","","Yes if I get part of the profit","Yes if consumers get part of the profit","I don't know","No","I don't know",FALSE
"R_111J2YLIGckNIeJ",NA,NA,NA,NA,NA,"Female",NA,"New York",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"R_2q9Qi9d6STzOGuw","35 - 44 years","No","White or Caucasian","High school diploma or GED","Less than $25,000","Male","heterosexual (straight)","Ohio","2","3",3,"More than 10 times per month","No","No","No","Yes","No","","Yes if I get part of the profit","Yes","Yes","Yes","Yes",FALSE
"R_8tXaTutYvYjPOoh","35 - 44 years","No","White or Caucasian","Bachelor's degree","$75,000 - $99,999","Female","heterosexual (straight)","Kentucky","1 (just me!)","3",3,"Less than 5 times per month","No","No","Yes","No","No","","Yes","Yes","Yes","No","Yes",FALSE
"R_2Ua7ev5fWion36a","25 - 34 years","No","White or Caucasian","Bachelor's degree","$150,000 or more","Male","heterosexual (straight)","Virginia","1 (just me!)","3",3,"More than 10 times per month","No","No","Yes","No","No","Had a child","No","Yes if consumers get part of the profit","I don't know","I don't know","No",FALSE
"R_1mQUNdA7gRaxdUg","18 - 24 years","No","Black or African American","Bachelor's degree","$50,000 - $74,999","Female","heterosexual (straight)","Georgia","1 (just me!)","3",3,"Less than 5 times per month","No","No","No","No","No","","Yes if I get part of the profit","No","I don't know","I don't know","I don't know",FALSE
"R_UmBwrqd2lGfqkp3",NA,NA,NA,NA,NA,"Male",NA,"Kentucky",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"R_2dmqKX6ss6HMnb7","35 - 44 years","No","Black or African American","Bachelor's degree","$25,000 - $49,999","Female","heterosexual (straight)","Missouri","2","1 (just me!)",1,"5 - 10 times per month","No","No","No","No","No","","No","No","Yes","I don't know","No",FALSE
"R_2uJnrzmcdz6BzLc","45 - 54 years","No","White or Caucasian","Bachelor's degree","Less than $25,000","Female","heterosexual (straight)","Texas","1 (just me!)","2",2,"Less than 5 times per month","No","Yes","No","No","No","Lost a job ","Yes if I get part of the profit","Yes if consumers get part of the profit","No","No","Yes",FALSE
"R_3HBSzChLJ0THGv0","18 - 24 years","Yes","White or Caucasian","High school diploma or GED","$75,000 - $99,999","Male","heterosexual (straight)","California","3","4+",4,"5 - 10 times per month","No","No","No","No","No","","No","No","No","No","I don't know",FALSE
"R_1KdlBlo1yOVwef9",NA,NA,NA,NA,NA,"Female",NA,"Connecticut",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"R_1pXmZFz3j3TjBxz","45 - 54 years","No","White or Caucasian","High school diploma or GED","$25,000 - $49,999","Male","heterosexual (straight)","Texas","2","4+",4,"5 - 10 times per month","Yes","Yes","Yes","Yes","No","Lost a job ","Yes if I get part of the profit","Yes if consumers get part of the profit","Yes","No","Yes",FALSE
"R_1hK1vuBfyfw5EGJ",NA,NA,NA,NA,NA,"Male",NA,"Texas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"R_3hosWdcmm0vvrdx","35 - 44 years","No","White or Caucasian","Bachelor's degree","$150,000 or more","Female","heterosexual (straight)","Maryland","1 (just me!)","2",2,"5 - 10 times per month","No","No","Yes","No","No","Moved place of residence","No","No","I don't know","I don't know","I don't know",FALSE
"R_1GymT83N9uDSyIG","35 - 44 years","No","White or Caucasian","Bachelor's degree","$50,000 - $74,999","Male","heterosexual (straight)","Missouri","1 (just me!)","3",3,"Less than 5 times per month","Yes","No","Yes","No","No","","Yes if I get part of the profit","Yes if consumers get part of the profit","Yes","No","No",FALSE
"R_1gTncWbI4hULAit","45 - 54 years","No","White or Caucasian","Bachelor's degree","$150,000 or more","Female","heterosexual (straight)","Washington","2","4+",4,"5 - 10 times per month","No","No","No","No","Yes","","I don't know","I don't know","Yes","No","I don't know",FALSE
"R_2wsEjZPqLx1a09x","45 - 54 years","No","White or Caucasian","Bachelor's degree","$50,000 - $74,999","Female","heterosexual (straight)","California","1 (just me!)","4+",4,"Less than 5 times per month","Yes","No","No","No","No","","Yes if I get part of the profit","Yes if consumers get part of the profit","Yes","I don't know","I don't know",FALSE
"R_2QLigoO9nrSSnPT",NA,NA,NA,NA,NA,"Female",NA,"Idaho",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"R_2Pb6kMuBgOduMwf","25 - 34 years","No","Asian","Bachelor's degree","$150,000 or more","Female","heterosexual (straight)","Georgia","1 (just me!)","3",3,"Less than 5 times per month","No","No","No","No","No","","Yes","Yes","Yes","No","Yes",FALSE
"R_1jImmHuCDaof0wB","25 - 34 years","No","White or Caucasian","Some high school or less","Less than $25,000","Male","heterosexual (straight)","Washington","2","1 (just me!)",1,"Less than 5 times per month","No","No","No","No","No","","Yes if I get part of the profit","No","No","No","No",FALSE
"R_21aNrgZVQUA7xK3","25 - 34 years","No","White or Caucasian","Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS, etc)","$75,000 - $99,999","Male","heterosexual (straight)","New York","1 (just me!)","1 (just me!)",1,"Less than 5 times per month","No","No","Yes","No","No","","Yes if I get part of the profit","Yes if consumers get part of the profit","Yes","Yes","Yes",FALSE
"R_2338QGZaaaR1nho",NA,NA,NA,NA,NA,"Female",NA,"Kansas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"R_31hpjsH6qTrIyHn",NA,NA,NA,NA,NA,"Male",NA,"Connecticut",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"R_2AWkL1j4mAcAll8",NA,NA,NA,NA,NA,"Male",NA,"Arizona",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"R_2rJyfdZGQD2rif2","45 - 54 years","No","White or Caucasian","High school diploma or GED","$100,000 - $149,999","Female","heterosexual (straight)","California","2","4+",4,"5 - 10 times per month","No","Yes","No","No","No","","Yes if I get part of the profit","Yes if consumers get part of the profit","No","No","Yes",FALSE
"R_3nJBlarikgnKpF2","25 - 34 years","No","White or Caucasian","Bachelor's degree","Less than $25,000","Female","heterosexual (straight)","California","3","2",2,"More than 10 times per month","No","No","No","No","No","","No","No","Yes","No","Yes",FALSE
"R_OQeye2UKl8Th6dr",NA,NA,NA,NA,NA,"Male",NA,"North Carolina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"R_2uL1J6k6By8taew",NA,NA,NA,NA,NA,"Female",NA,"Arizona",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"R_33lsJEmPv7wPank","65 and older","No","White or Caucasian","Bachelor's degree","$50,000 - $74,999","Male","heterosexual (straight)","Ohio","1 (just me!)","1 (just me!)",1,"Less than 5 times per month","No","Yes","No","No","No","Moved place of residence","No","No","Yes","No","No",FALSE
"R_2zNpJuWE3ykIlGh","25 - 34 years","No","White or Caucasian","Bachelor's degree","$25,000 - $49,999","Female","heterosexual (straight)","Illinois","1 (just me!)","1 (just me!)",1,"Less than 5 times per month","No","No","No","No","No","Moved place of residence","No","No","Yes","I don't know","I don't know",FALSE
"R_USaHS49dLRXDYPv","35 - 44 years","Yes","White or Caucasian","High school diploma or GED","Less than $25,000","Female","heterosexual (straight)","Texas","1 (just me!)","2",2,"Less than 5 times per month","No","No","No","No","Yes","Moved place of residence","No","No","No","No","Yes",FALSE
"R_5u1j9x0AEArQHSN",NA,NA,NA,NA,NA,"Male",NA,"Texas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"R_1LMx3Ij1VcN0Cnc","35 - 44 years","No","White or Caucasian","High school diploma or GED","$25,000 - $49,999","Male","heterosexual (straight)","South Carolina","3","4+",4,"Less than 5 times per month","No","No","No","No","No","Lost a job ","No","Yes if consumers get part of the profit","No","No","I don't know",FALSE
"R_2c1UYDhiZ7kSQwD","18 - 24 years","No","Asian","Bachelor's degree","$75,000 - $99,999","Male","heterosexual (straight)","California","1 (just me!)","2",2,"Less than 5 times per month","No","No","Yes","No","No","","No","No","Yes","No","Yes",FALSE
"R_D5ygbCcJ5AaZm93",NA,NA,NA,NA,NA,"Female",NA,"Kentucky",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"R_7WBotcu3OLipNWV",NA,NA,NA,NA,NA,"Female",NA,"California",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"R_R4goEYhjG8ibKsV",NA,NA,NA,NA,NA,"Female",NA,"Arkansas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"R_2xK72G1rcP4QmAO","25 - 34 years","Yes","Other","Bachelor's degree","$50,000 - $74,999","Male","heterosexual (straight)","California","1 (just me!)","3",3,"Less than 5 times per month","No","No","No","No","No","","No","No","Yes","No","Yes",FALSE
"R_vqUjznemK9GPhfP",NA,NA,NA,NA,NA,"Male",NA,"Alabama",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"R_2WMt9IboH8O03gc",NA,NA,NA,NA,NA,"Male",NA,"Oklahoma",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"R_2b2HfsI0sUHFVyL","35 - 44 years","No","White or Caucasian","Bachelor's degree","$100,000 - $149,999","Male","heterosexual (straight)","Massachusetts","1 (just me!)","4+",4,"5 - 10 times per month","No","No","No","No","No","","No","No","No","No","Yes",FALSE
"R_1hVXOHhrUPDIoxW","35 - 44 years","No","White or Caucasian","Bachelor's degree","$100,000 - $149,999","Female","LGBTQ+","Kentucky","2","4+",4,"5 - 10 times per month","No","No","Yes","No","No","","Yes if I get part of the profit","Yes if consumers get part of the profit","No","No","Yes",FALSE
"R_wMrbwfaugXFwJDH",NA,NA,NA,NA,NA,"Male",NA,"Virginia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"R_2Bm1kPnJO8CxELI",NA,NA,NA,NA,NA,"Male",NA,"Louisiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"R_1QsBQXKcvaivx1j",NA,NA,NA,NA,NA,"Female",NA,"Illinois",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"R_3m1QGkK4pRvz6q5",NA,NA,NA,NA,NA,"Male",NA,"Kentucky",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"R_3h9Bd191G9AvusC",NA,NA,NA,NA,NA,"Female",NA,"Nevada",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"R_1Owwa72zuqchWxY","35 - 44 years","No","White or Caucasian","Bachelor's degree","$100,000 - $149,999","Male","heterosexual (straight)","Illinois","1 (just me!)","2",2,"5 - 10 times per month","No","No","No","No","No","Lost a job ","Yes if I get part of the profit","Yes if consumers get part of the profit","Yes","I don't know","Yes",FALSE
"R_1CxLS0volYi8suF",NA,NA,NA,NA,NA,"Male",NA,"New York",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"R_1IYpsszqv6YqEQ3","45 - 54 years","No","White or Caucasian","Bachelor's degree","$25,000 - $49,999","Male","heterosexual (straight)","Tennessee","1 (just me!)","1 (just me!)",1,"Less than 5 times per month","No","No","Yes","No","No","","No","No","No","I don't know","Yes",FALSE
"R_UMB3TmQ4xi2VrUJ","25 - 34 years","No","White or Caucasian","Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS, etc)","$25,000 - $49,999","Female","LGBTQ+","Pennsylvania","1 (just me!)","2",2,"Less than 5 times per month","No","I stopped in the recent past","No","No","No","","Yes if I get part of the profit","No","Yes","I don't know","I don't know",FALSE
"R_tQAoWQ7nHZfCcgh","25 - 34 years","No","White or Caucasian,Asian","Bachelor's degree","$75,000 - $99,999","Female","heterosexual (straight)","Minnesota","1 (just me!)","2",2,"Less than 5 times per month","No","No","No","No","No","","Yes if I get part of the profit","Yes if consumers get part of the profit","Yes","I don't know","I don't know",FALSE
"R_1eQqFeBM4MatSbX",NA,NA,NA,NA,NA,"Male",NA,"Pennsylvania",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"R_3e5g4lvddcnjkoZ","35 - 44 years","No","White or Caucasian","Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS, etc)","$150,000 or more","Female","heterosexual (straight)","Colorado","2","2",2,"More than 10 times per month","No","No","Yes","No","No","Became pregnant","Yes if I get part of the profit","Yes","No","No","No",FALSE
"R_RUiKvns4bLPdv1v","35 - 44 years","No","White or Caucasian","Bachelor's degree","$150,000 or more","Male","heterosexual (straight)","North Carolina","1 (just me!)","3",3,"More than 10 times per month","No","No","Yes","No","No","","Yes if I get part of the profit","Yes if consumers get part of the profit","I don't know","I don't know","Yes",FALSE
"R_2EmedYCvGOapQws","25 - 34 years","No","White or Caucasian","High school diploma or GED","$75,000 - $99,999","Male","LGBTQ+","Nevada","2","2",2,"More than 10 times per month","No","No","Yes","No","No","Moved place of residence","Yes if I get part of the profit","Yes if consumers get part of the profit","Yes","No","Yes",FALSE
"R_1r33v6LzEZZ2k55","25 - 34 years","Yes","Black or African American","Bachelor's degree","$25,000 - $49,999","Female","LGBTQ+","California","1 (just me!)","3",3,"More than 10 times per month","No","Yes","Yes","No","No","Moved place of residence","No","No","No","No","No",FALSE
"R_1dpjyNliPgQ1lKK","35 - 44 years","No","Asian","Bachelor's degree","$25,000 - $49,999","Male","heterosexual (straight)","Texas","2","3",3,"Less than 5 times per month","No","No","No","No","No","","Yes if I get part of the profit","Yes if consumers get part of the profit","No","Yes","Yes",FALSE
"R_z8R7uxzHXINE8o1",NA,NA,NA,NA,NA,"Male",NA,"Virginia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"R_3GBBlhvTFaD1mh7","25 - 34 years","No","White or Caucasian","Bachelor's degree","$150,000 or more","Male","heterosexual (straight)","Virginia","1 (just me!)","2",2,"Less than 5 times per month","No","No","Yes","No","No","","Yes if I get part of the profit","Yes if consumers get part of the profit","No","Yes","Yes",FALSE
"R_12J768g8RrIKrIV","35 - 44 years","Yes","White or Caucasian","High school diploma or GED","Less than $25,000","Female","heterosexual (straight)","Nevada","1 (just me!)","1 (just me!)",1,"Less than 5 times per month","Yes","No","Yes","No","No","","No","No","No","No","Yes",FALSE
"R_56IpX8kBZNaXDz3",NA,NA,NA,NA,NA,"Male",NA,"New York",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"R_T5eIGFma6kcMlgd","25 - 34 years","No","White or Caucasian,Black or African American,Asian,Other","High school diploma or GED","$25,000 - $49,999","Male","heterosexual (straight)","Nevada","1 (just me!)","4+",4,"Less than 5 times per month","No","No","No","No","No","","Yes if I get part of the profit","Yes if consumers get part of the profit","Yes","I don't know","Yes",FALSE
"R_2QX6bqN2BA5Ex0p",NA,NA,NA,NA,NA,"Male",NA,"New York",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"R_1JUT4H78WPmsV36","25 - 34 years","No","White or Caucasian","Bachelor's degree","$50,000 - $74,999","Female","LGBTQ+","New York","1 (just me!)","2",2,"Less than 5 times per month","No","No","Yes","No","No","","No","No","No","No","No",FALSE
"R_1LdmaFBhWUcIaF7","25 - 34 years","No","White or Caucasian,Black or African American","Bachelor's degree","Prefer not to say","Male","LGBTQ+","Michigan","1 (just me!)","2",2,"5 - 10 times per month","No","Yes","Yes","No","No","","Yes if I get part of the profit","Yes if consumers get part of the profit","No","Yes","Yes",FALSE
"R_1d6V903Xy4VOFla",NA,NA,NA,NA,NA,"Male",NA,"Indiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"R_2y9PcIxPBtYiYWN","35 - 44 years","No","White or Caucasian","Bachelor's degree","$100,000 - $149,999","Female","heterosexual (straight)","Colorado","1 (just me!)","4+",4,"Less than 5 times per month","No","No","Yes","No","No","","No","No","I don't know","Yes","Yes",FALSE
"R_2VsCpLMEP8xSuge",NA,NA,NA,NA,NA,"Male",NA,"Illinois",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"R_1eXcCdLEuOijpZN",NA,NA,NA,NA,NA,"Male",NA,"Ohio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"R_2WHxAVIqdyfoX8D","45 - 54 years","No","White or Caucasian","High school diploma or GED","Less than $25,000","Female","heterosexual (straight)","Texas","1 (just me!)","1 (just me!)",1,"Less than 5 times per month","Yes","No","Yes","No","No","","Yes if I get part of the profit","Yes if consumers get part of the profit","Yes","Yes","Yes",FALSE
"R_31vHYfmUkFAL7sQ","25 - 34 years","No","White or Caucasian","High school diploma or GED","$25,000 - $49,999","Female","heterosexual (straight)","Tennessee","1 (just me!)","1 (just me!)",1,"Less than 5 times per month","No","No","No","No","No","","No","No","No","No","No",FALSE
"R_1RFaLdtXxWmh7RT","55 - 64 years","No","White or Caucasian","Bachelor's degree","$100,000 - $149,999","Male","heterosexual (straight)","California","2","3",3,"Less than 5 times per month","No","No","Yes","No","No","Moved place of residence","No","No","No","No","I don't know",FALSE
"R_2v0q80m6Kbiv658","35 - 44 years","No","White or Caucasian","High school diploma or GED","Less than $25,000","Female","heterosexual (straight)","Kentucky","4+","4+",4,"Less than 5 times per month","Yes","Yes","Yes","No","No","","Yes if I get part of the profit","Yes if consumers get part of the profit","No","No","No",FALSE
"R_SE8aSpQlEHeTRi9",NA,NA,NA,NA,NA,"Male",NA,"Arizona",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
